Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,25.0,9.0,0.92,25.0,17.0,5.0,5.3,3.0,2.0,0.0,0.0,7.2,0.26,-0.8,-0.08,262.0,46.0,26.3,29.1,15,94.0,18.0,14.0
Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,30.0,27.0,1.59,87.0,58.0,16.0,7.1,5.0,1.0,2.0,0.0,29.2,0.32,2.2,0.13,569.0,64.0,24.4,29.7,25,225.0,13.2,15.0
Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30.0,14.0,0.93,54.0,40.0,17.0,11.2,7.0,4.0,0.0,0.0,17.5,0.26,3.5,0.23,435.0,61.0,29.7,30.5,22,152.0,16.1,22.0
Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26.0,34.0,1.06,127.0,92.0,47.0,12.7,10.0,4.0,1.0,0.0,35.7,0.25,1.7,0.05,1160.0,190.0,33.3,33.4,43,370.0,14.5,57.0
Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,21.0,12.0,1.41,46.0,35.0,16.0,11.7,3.0,1.0,0.0,0.0,14.3,0.3,3.3,0.39,248.0,34.0,37.1,33.2,19,137.0,14.0,18.0
Razvan Sava,ro ROU,GK,Udinese,it Serie A,22.0,16.0,1.33,51.0,37.0,4.0,2.0,4.0,3.0,0.0,0.0,14.5,0.24,0.5,0.04,337.0,26.0,33.2,32.2,13,202.0,14.8,13.0
Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32.0,13.0,2.17,28.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,9.7,0.32,-3.3,-0.55,166.0,26.0,31.3,31.0,10,85.0,14.2,4.0
Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28.0,23.0,1.77,56.0,33.0,6.0,3.2,1.0,5.0,0.0,0.0,20.4,0.28,-2.6,-0.2,305.0,50.0,42.0,35.5,17,189.0,11.8,7.0
Simone Scuffet,it ITA,GK,Napoli,it Serie A,28.0,1.0,1.0,4.0,3.0,1.0,3.4,0.0,0.0,0.0,0.0,1.6,0.4,0.6,0.6,35.0,5.0,25.7,29.3,0,29.0,7.0,0.0
Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,19.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.31,-1.1,-1.12,16.0,5.0,37.5,33.8,0,4.0,26.0,1.0
Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32.0,46.0,1.21,165.0,119.0,19.0,2.7,13.0,3.0,0.0,0.0,49.1,0.29,3.1,0.08,715.0,83.0,68.4,44.7,17,710.0,8.7,12.0
Alen Sherri,al ALB,GK,Cagliari,it Serie A,26.0,11.0,1.59,31.0,20.0,4.0,4.7,1.0,0.0,0.0,0.0,10.9,0.35,-0.1,-0.02,168.0,22.0,35.7,32.2,15,85.0,11.1,5.0
Benjamin Siegrist,ch SUI,GK,Genoa,it Serie A,32.0,2.0,1.18,12.0,10.0,1.0,3.8,0.0,0.0,0.0,0.0,2.4,0.2,0.4,0.23,54.0,9.0,33.3,35.9,2,26.0,6.2,1.0
Rui Silva,pt POR,GK,Betis,es La Liga,30.0,18.0,1.2,54.0,37.0,10.0,5.2,4.0,3.0,0.0,0.0,18.4,0.3,1.4,0.1,446.0,70.0,26.0,30.8,25,194.0,18.9,31.0
Marco Silvestri,it ITA,GK,Empoli,it Serie A,33.0,11.0,2.2,27.0,17.0,1.0,1.6,0.0,0.0,0.0,0.0,8.0,0.32,-2.0,-0.41,135.0,16.0,60.7,41.8,6,62.0,12.6,4.0
Unai Simón,es ESP,GK,Athletic Club,es La Liga,27.0,14.0,0.67,62.0,47.0,19.0,7.6,10.0,1.0,1.0,0.0,16.3,0.24,2.3,0.11,533.0,91.0,36.2,34.4,33,249.0,15.5,28.0
Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,36.0,3.0,4.58,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,-1.8,-2.72,22.0,2.0,45.5,39.2,0,13.0,2.0,0.0
