Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,50,63,79.4,887,361,0.0,0.0,0,8,0,0,51,0,0,2,0,0,0,1,8,3,2.09,2,0,0,0,0,0,0.0,2,2,1,1,0,0,1,3,0,0,73,2,0,0,1,41,0,1,0,40,0,0,0,0,7
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,47,66,71.2,705,190,0.0,0.0,1,2,0,0,54,0,0,5,0,0,0,0,6,10,0.75,1,0,0,0,0,0,0.0,4,4,2,2,0,1,0,1,3,0,85,1,0,1,2,46,0,3,1,49,2,0,0,0,7
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,1,0,1.38,0.0,0,17,29,58.6,268,110,0.0,0.0,0,0,0,0,21,0,0,1,0,0,0,3,2,3,0.0,0,0,0,0,0,0,0.0,3,2,2,1,0,0,1,1,0,0,36,1,1,1,0,13,1,0,2,16,0,2,0,0,2
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,1,0,1.02,0.0,0,36,46,78.3,614,206,0.0,0.0,0,2,0,0,45,0,0,0,0,0,0,3,4,1,1.02,1,0,0,0,0,0,0.0,4,2,4,0,0,1,1,2,3,0,65,8,2,0,0,29,1,1,3,34,2,4,0,0,7
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,100.0,41,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,3,0,0,0,0,0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,0,0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,2,1,0.17,0.09,0,438,505,86.7,7952,2404,0.3,-0.1,2,28,0,0,461,0,0,0,0,0,0,4,22,3,0.55,5,1,0,0,0,0,0.0,17,11,15,2,0,6,14,26,57,1,641,127,7,3,4,322,0,8,3,393,19,16,0,0,42
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,6,1,3,3,4,6.4,3.2,3.2,-0.4,-0.2,35,8,1.11,0.25,0,1373,1672,82.1,21646,6031,3.7,-2.2,39,171,38,3,1555,23,13,44,5,2,0,107,207,111,2.98,80,2,5,1,3,3,0.16,48,32,13,20,15,33,26,24,28,2,1993,38,49,57,61,1183,17,55,51,1446,13,48,0,0,193
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,471,521,90.4,8299,2620,0.2,0.0,0,41,1,0,493,0,7,2,0,0,0,6,52,5,0.84,8,0,0,0,0,0,0.0,21,14,12,6,3,9,15,11,56,1,635,70,3,1,2,342,0,4,3,386,31,9,0,0,50
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,5,2,5,0,0,4.3,4.3,1.9,0.7,0.7,29,11,1.87,0.71,1,502,678,74.0,7914,2701,1.7,0.1,20,19,21,7,551,0,2,51,0,0,0,35,42,101,2.91,33,3,4,4,0,1,0.19,43,25,18,14,11,15,20,20,37,0,886,51,50,12,16,391,9,32,14,481,22,27,0,0,72
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,0,1,0,0,0,0.0,0.0,0.2,0.0,0.0,1,0,0.44,0.0,0,118,136,86.8,1766,368,0.2,0.8,2,4,4,2,103,0,0,7,0,0,0,6,9,26,2.65,5,0,0,0,1,0,0.44,3,2,2,0,1,0,2,2,0,0,157,0,7,3,2,90,2,5,1,108,0,2,0,1,3
Abel,es ESP,DF,Osasuna,es La Liga,23.0,2,0,2,0,0,0.5,0.5,1.0,1.5,1.5,12,4,0.52,0.17,0,776,1071,72.5,12899,5046,1.5,-1.0,16,57,18,13,847,3,2,85,0,0,0,50,77,92,1.69,29,2,5,0,1,2,0.17,61,37,28,25,8,24,18,29,64,2,1322,65,19,18,13,605,7,27,18,683,20,25,0,1,106
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.68,0.0,0,36,61,59.0,680,267,0.1,0.0,1,7,2,0,58,0,1,0,0,0,0,2,6,2,1.03,3,0,0,0,0,0,0.0,6,4,3,3,0,0,0,3,5,0,87,6,2,2,1,34,0,1,1,36,10,7,0,0,8
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,1,100.0,21,7,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,9,2,8,1,1,8.5,7.7,3.8,0.5,0.3,73,26,2.37,0.85,0,351,538,65.2,5145,976,3.4,-1.8,27,23,15,4,510,3,4,30,0,0,0,75,48,169,1.98,43,0,8,6,3,1,0.29,11,5,2,4,5,6,4,15,36,1,878,34,142,35,48,587,42,92,65,689,64,34,0,0,83
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,1,1,1,0,0,0.6,0.6,1.1,0.4,0.4,7,3,0.58,0.25,0,568,675,84.1,8355,3494,2.3,-0.1,11,45,11,2,576,1,5,31,6,0,0,31,66,55,2.06,21,3,0,1,0,0,0.08,29,20,12,10,7,11,5,15,41,0,791,40,22,6,6,426,5,14,8,513,7,16,0,0,45
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,7,2,6,1,2,10.2,8.6,1.6,-3.2,-2.6,62,26,2.94,1.23,0,221,349,63.3,2789,753,2.0,0.4,12,16,10,4,333,0,0,33,2,0,0,34,22,164,1.61,19,0,4,6,4,1,0.33,22,13,7,8,7,19,6,16,9,0,613,6,113,16,35,375,19,64,26,450,22,35,2,0,61
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,0,1,0,0,0,0.9,0.9,0.3,-0.9,-0.9,12,1,0.44,0.04,0,719,939,76.6,16039,5771,0.4,0.7,8,67,10,2,888,1,17,5,0,0,0,16,79,4,0.91,20,0,0,2,1,2,0.11,36,23,24,11,1,14,39,28,146,1,1251,160,25,3,1,632,0,18,3,650,40,47,1,2,87
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,3,33.3,44,32,0.0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,3,0,1,0,4,1,0,0,0,0
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,3,4,2,1,2,7.1,5.4,2.2,-4.1,-3.4,26,11,1.98,0.84,0,152,221,68.8,1956,534,1.3,1.8,14,13,10,0,203,5,0,3,0,0,0,8,26,69,2.51,28,0,0,4,1,0,0.68,17,11,2,10,5,2,2,13,16,0,367,20,57,4,10,158,4,22,13,241,36,23,1,0,12
Federico Accornero,it ITA,MF,Genoa,it Serie A,20.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,4,6,66.7,55,19,0.0,0.0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,5,0,2,0,5,0,0,0,0,1
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,0,1,0,0,0,0.4,0.4,0.6,-0.4,-0.4,5,1,0.26,0.05,0,1200,1297,92.5,22280,6158,1.4,0.4,9,59,8,5,1256,0,2,10,0,0,0,19,62,22,1.05,20,0,0,0,0,0,0.05,23,19,16,7,0,6,26,22,81,0,1484,139,20,3,1,915,1,7,2,1101,61,11,0,0,62
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,0,0,0,0,0,0.2,0.2,0.0,-0.2,-0.2,2,0,1.06,0.0,0,104,124,83.9,2025,705,0.0,0.0,0,6,0,0,121,0,0,0,0,0,0,0,8,0,1.06,2,0,0,0,0,0,0.0,2,1,2,0,0,0,1,1,2,0,137,7,3,1,0,106,0,2,0,111,1,0,0,0,7
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,0,0,0,0,0,0.4,0.4,0.0,-0.4,-0.4,2,1,1.34,0.67,0,20,27,74.1,334,48,0.0,0.0,0,3,1,0,24,0,0,0,0,0,0,0,5,5,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,34,1,1,1,0,5,0,2,0,20,6,1,0,0,4
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,3,1,3,0,0,4.3,4.3,1.0,-1.3,-1.3,26,12,2.18,1.0,0,112,179,62.6,1540,198,0.1,0.0,12,8,0,0,160,1,2,5,0,0,0,11,6,45,2.09,18,0,4,1,2,0,0.42,4,3,1,2,1,1,1,2,5,1,251,5,49,7,6,126,7,16,14,174,28,17,2,0,24
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,9,3,9,0,1,9.0,8.2,2.0,0.0,0.8,63,25,2.14,0.85,0,414,557,74.3,6531,1184,2.9,1.0,26,32,7,0,513,4,5,10,0,0,0,23,40,153,2.14,49,1,0,8,5,0,0.17,12,6,2,4,6,6,2,13,18,0,802,19,104,11,22,509,9,63,34,630,36,29,0,0,50
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,0,3,0,0,0,1.6,1.6,1.0,-1.6,-1.6,9,2,0.41,0.09,0,902,1069,84.4,14322,3525,0.8,2.0,18,67,4,1,1025,2,1,3,0,0,0,14,76,10,1.88,35,0,0,1,1,4,0.18,83,50,26,49,8,33,32,33,42,0,1337,62,18,4,10,663,1,28,12,757,31,45,0,1,114
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2,2,2,0,0,5.5,5.5,2.4,-3.5,-3.5,36,11,2.1,0.64,0,198,312,63.5,2376,316,1.9,-0.4,17,7,8,0,292,2,0,5,0,0,0,8,14,84,1.69,22,0,1,3,3,0,0.17,9,3,3,3,3,8,12,14,20,0,534,21,80,10,18,275,4,59,24,350,53,38,0,0,52
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1,1,1,0,0,0.9,0.9,0.2,0.1,0.1,13,2,0.83,0.13,0,1079,1184,91.1,19805,7144,0.2,0.8,1,62,1,0,1142,2,3,0,0,0,0,5,42,1,0.96,8,0,0,6,0,1,0.06,17,13,11,6,0,4,11,9,80,0,1330,175,14,4,1,777,0,4,0,1000,42,8,0,0,41
Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,8,10,80.0,138,11,0.0,0.0,0,1,0,0,10,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0,2,0,14,2,1,0,0,6,1,0,0,9,0,0,0,0,0
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,7,6,7,0,0,5.5,5.5,6.0,1.5,1.5,46,18,2.89,1.13,0,298,401,74.3,4376,889,4.1,0.0,28,10,19,2,388,3,2,26,2,0,0,68,28,153,3.58,35,1,12,6,2,1,0.69,20,14,6,6,8,12,7,14,5,0,636,9,88,40,49,417,41,43,31,465,9,27,0,0,48
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2,2,2,0,0,2.5,2.5,2.5,-0.5,-0.5,33,8,2.71,0.66,0,290,382,75.9,4148,820,2.8,-0.5,16,5,17,6,372,2,0,41,0,0,0,50,18,136,3.86,33,0,6,8,0,0,0.57,23,14,10,8,5,16,8,12,6,2,548,10,76,21,27,366,27,39,12,388,7,13,0,0,47
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,2,0,2,0,0,2.7,2.7,0.7,-0.7,-0.7,20,7,2.35,0.82,0,267,360,74.2,3379,721,1.9,-0.7,11,9,15,4,346,0,2,33,2,1,0,37,24,100,3.41,19,0,2,4,4,0,0.0,15,9,4,2,9,7,0,11,4,0,468,4,53,15,16,248,11,20,6,350,21,15,2,0,30
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,4,6,4,0,0,1.0,1.0,2.4,3.0,3.0,14,5,1.03,0.37,2,718,890,80.7,14050,4602,2.2,3.6,23,84,16,4,795,3,14,63,17,19,0,24,103,30,3.64,35,10,2,2,1,0,0.73,32,19,11,16,5,22,6,13,19,0,1021,31,11,12,16,618,3,19,8,690,5,9,0,0,77
Adryelson,br BRA,DF,Lyon,fr Ligue 1,26.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,3,33.3,21,19,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,2.14,2.14,0,15,20,75.0,255,52,0.0,0.0,0,1,1,0,20,0,0,0,0,0,0,0,1,3,4.29,1,0,0,1,0,0,0.0,2,2,0,1,1,1,0,0,0,0,24,0,2,0,1,14,0,1,1,20,2,1,0,0,3
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,0,0,0,0,0,0.4,0.4,0.4,-0.4,-0.4,10,5,1.24,0.62,1,366,419,87.4,6537,1452,0.6,-0.4,8,41,5,2,393,1,5,14,2,4,0,8,33,17,2.23,15,2,0,0,0,1,0.0,18,13,8,7,3,4,7,4,6,0,485,11,10,3,2,291,2,5,7,346,5,16,0,0,35
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,3,1,3,0,0,3.1,3.1,3.8,-0.1,-0.1,38,13,2.09,0.71,0,320,461,69.4,5556,1270,3.6,-2.8,21,23,14,10,434,1,4,53,0,0,0,53,32,108,2.86,28,0,12,7,5,0,0.33,17,8,4,8,5,12,8,17,20,0,741,13,62,48,43,495,28,63,45,555,19,21,1,0,72
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1,0,1,0,0,0.8,0.8,0.2,0.2,0.2,7,2,0.45,0.13,1,855,1001,85.4,17344,6203,0.3,-0.2,4,40,1,0,955,1,11,2,0,0,0,6,31,2,1.09,15,2,0,0,0,0,0.19,30,19,21,9,0,7,12,19,90,0,1172,190,7,10,2,758,0,6,4,796,26,7,0,0,83
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,0,0,0,0,0,0.5,0.5,0.3,-0.5,-0.5,15,3,1.07,0.21,1,810,922,87.9,16521,6962,0.3,-0.3,8,71,4,1,842,3,22,1,0,0,0,10,77,0,1.5,19,0,1,1,0,0,0.07,25,17,19,3,3,7,19,22,64,1,1080,178,4,9,3,621,0,9,6,701,18,13,0,0,85
Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,15.0,0.0,0,2,3,66.7,32,0,0.0,0.0,1,0,0,0,3,0,0,1,0,0,0,2,0,1,15.0,1,0,0,0,0,0,0.0,2,1,0,2,0,0,0,0,0,0,8,0,0,0,1,5,0,0,1,5,0,0,0,0,0
Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18.0,1,0,1,0,0,0.7,0.7,0.2,0.3,0.3,6,4,1.8,1.2,0,58,80,72.5,743,182,0.4,-0.2,3,4,4,2,75,0,0,7,0,0,0,13,6,36,2.4,7,1,0,0,0,0,0.0,7,6,6,0,1,4,1,2,0,1,131,1,16,9,10,84,10,11,6,92,1,14,0,0,9
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,1,3,1,0,0,0.9,0.9,2.5,0.1,0.1,10,2,0.43,0.09,0,1007,1236,81.5,15958,5460,1.6,0.5,27,126,19,3,1190,6,9,18,0,0,0,29,135,23,2.55,57,0,1,1,0,1,0.21,70,32,23,37,10,12,41,30,42,0,1481,65,19,22,7,689,2,26,13,928,42,49,0,1,136
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,3,0,3,0,0,1.4,1.4,1.8,1.6,1.6,9,4,0.46,0.21,0,655,822,79.7,10350,3456,2.5,-1.8,20,36,22,12,667,0,3,49,0,0,0,33,43,105,1.8,30,1,2,0,2,0,0.05,30,14,12,14,4,11,21,27,48,0,1045,48,37,9,19,545,8,33,12,605,21,11,0,0,67
Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,0,1,0,0,0,0.6,0.6,0.6,-0.6,-0.6,10,1,2.03,0.2,1,193,248,77.8,3748,1187,0.4,0.4,4,31,8,3,230,1,3,12,1,1,0,15,37,4,3.25,13,1,1,1,0,0,0.2,5,2,3,2,0,6,4,7,5,1,303,7,6,5,2,175,4,9,4,189,3,5,0,0,37
Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,1,100.0,34,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,0,0,0,0,0,2.4,2.4,0.1,-2.4,-2.4,15,5,0.77,0.26,0,1213,1389,87.3,23636,8366,0.3,-0.1,5,87,3,1,1330,0,34,2,0,0,0,26,75,1,0.82,13,1,0,2,0,0,0.05,30,24,17,12,1,6,13,21,91,0,1594,132,16,5,2,1019,0,7,3,1138,61,11,0,1,73
Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31.0,1,2,1,0,0,0.8,0.8,1.9,0.2,0.2,11,3,0.88,0.24,0,677,843,80.3,9523,4115,1.4,0.1,11,44,21,6,706,2,4,47,0,0,0,32,74,101,2.08,24,0,0,2,0,0,0.4,34,18,17,12,5,15,13,25,23,0,996,27,30,9,9,518,5,19,6,612,10,14,0,0,79
Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.55,0.0,0,17,22,77.3,266,33,0.0,0.0,0,2,0,0,22,0,0,1,0,0,0,2,1,1,3.1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,31,1,0,0,1,16,0,1,1,17,0,1,0,0,7
Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16.0,0,0,0,0,0,0.5,0.5,0.1,-0.5,-0.5,3,1,1.0,0.33,0,51,76,67.1,868,299,0.1,-0.1,2,0,0,0,64,0,0,4,1,0,0,3,3,7,1.67,3,0,0,0,1,1,0.0,7,5,2,3,2,3,1,4,9,0,106,8,7,0,0,52,0,7,2,50,5,2,0,0,14
Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,13,76.9,125,21,0.0,0.0,0,1,0,0,13,0,0,0,0,0,0,1,1,3,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,22,0,2,0,0,12,0,3,0,14,0,0,0,0,0
Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,2,0,2,0,0,1.8,1.8,1.0,0.2,0.2,27,7,1.24,0.32,0,644,764,84.3,10183,2687,0.7,-1.0,10,46,7,0,753,2,2,2,0,0,0,15,68,16,1.52,21,0,2,4,3,3,0.05,56,36,26,20,10,26,33,34,32,0,1032,45,34,12,12,495,2,32,15,615,38,50,0,0,100
Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.15,0.0,0,337,378,89.2,7044,2518,0.1,0.0,0,9,2,0,363,0,2,0,0,0,0,1,14,0,0.15,1,0,0,0,0,0,0.0,5,5,3,2,0,1,5,8,26,1,431,61,1,1,0,259,0,0,1,320,9,4,0,0,25
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,7,85.7,126,81,0.0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,1,6,0,0,0,0,1
Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,3,1,2.13,0.71,0,17,29,58.6,234,93,0.0,0.0,1,2,1,0,29,0,0,1,0,0,0,4,5,8,0.71,1,0,0,0,0,0,0.0,3,3,1,2,0,0,1,1,0,0,48,1,2,0,4,33,1,5,7,37,1,4,0,0,7
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,2,1,2,0,0,0.6,0.6,1.4,1.4,1.4,11,2,0.33,0.06,0,994,1352,73.5,15371,6297,2.2,-0.4,16,85,23,11,1071,0,4,59,0,0,0,67,107,67,1.86,49,5,3,1,3,1,0.12,55,42,39,15,1,28,33,34,115,4,1708,156,22,33,27,749,10,44,22,822,13,23,0,1,190
Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,4,7,4,0,0,2.7,2.7,5.5,1.3,1.3,36,10,1.04,0.29,0,1449,1721,84.2,19837,5926,4.0,1.5,46,77,30,10,1397,3,4,94,24,1,0,89,108,176,2.63,56,15,8,7,4,1,0.35,89,57,52,28,9,27,26,42,75,2,2148,96,96,63,56,1129,28,52,47,1321,22,30,0,0,145
Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,4,4,100.0,74,18,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,1,0,5,0,1,0,0,1
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,0,0,0,0,0,1.0,1.0,1.2,-1.0,-1.0,9,3,0.56,0.19,0,504,644,78.3,7868,2831,0.5,-1.2,8,44,7,4,570,0,3,14,0,0,0,27,56,44,1.13,15,0,1,2,0,0,0.13,26,18,14,11,1,13,12,17,50,0,795,53,38,7,8,387,2,15,12,491,27,13,0,0,42
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,13,2,13,0,1,10.4,9.6,3.1,2.6,3.4,53,25,1.91,0.9,0,462,671,68.9,6965,969,1.8,-1.1,35,29,11,1,660,2,12,7,0,0,0,10,41,124,2.17,49,0,2,5,2,2,0.29,26,19,3,12,11,22,6,20,26,0,914,32,125,8,9,410,4,60,11,658,133,61,2,0,62
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,0,0,0,0,0,1.6,1.6,0.4,-1.6,-1.6,15,2,0.67,0.09,0,1632,1744,93.6,27046,7578,1.3,-0.4,9,177,11,2,1707,4,10,11,0,0,0,46,158,7,1.65,37,0,0,0,0,0,0.13,19,12,12,4,3,6,9,11,64,3,1881,119,19,2,0,1254,0,5,5,1483,30,17,0,0,103
Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,0,0,0,0,0,0.1,0.1,0.1,-0.1,-0.1,2,0,0.36,0.0,0,274,348,78.7,4648,1667,0.1,-0.1,2,18,1,0,317,1,3,3,0,0,0,4,29,9,0.9,5,0,0,0,0,0,0.0,8,4,3,4,1,7,11,10,19,0,400,29,1,1,0,217,0,1,0,240,18,8,0,0,24
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,0,0,0,0,0,0.2,0.2,0.0,-0.2,-0.2,3,0,0.4,0.0,0,509,542,93.9,8321,2950,0.2,0.0,1,42,1,0,514,0,0,1,0,0,0,12,50,2,1.06,8,0,0,0,0,0,0.0,9,7,7,2,0,2,3,7,22,1,596,51,5,1,0,403,1,4,3,449,13,2,0,0,24
Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20.0,1,0,1,0,0,0.6,0.6,1.0,0.4,0.4,17,6,2.62,0.92,0,136,185,73.5,2161,534,1.7,-1.0,9,5,8,2,177,1,2,18,2,0,0,30,12,64,4.38,17,0,5,1,6,0,0.15,12,7,4,4,4,6,3,8,13,0,293,8,29,19,17,200,20,15,10,209,6,9,0,0,30
Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,2,3,2,0,0,1.5,1.5,2.5,0.5,0.5,26,7,0.93,0.25,1,929,1147,81.0,13641,4062,2.5,0.5,21,42,20,12,952,0,1,94,9,0,0,55,86,97,1.32,29,4,0,2,2,0,0.11,34,23,30,3,1,14,17,26,97,4,1436,100,34,13,17,710,5,31,19,817,19,25,0,0,109
Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22.0,5,10,4,1,1,9.2,8.4,7.3,-4.2,-4.4,61,17,2.28,0.64,2,989,1216,81.3,13887,4098,7.8,2.7,49,90,64,3,1163,8,8,53,11,2,0,127,173,226,4.45,87,3,12,6,8,3,0.71,51,31,12,24,15,22,15,21,13,0,1566,22,156,50,50,999,47,78,47,1149,5,31,0,0,131
Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,10,15,66.7,218,58,0.0,0.0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,1,0,0,1,18,2,0,0,0,14,0,1,0,14,0,3,0,0,0
Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,0,1,0,0,0,0.3,0.3,0.9,-0.3,-0.3,6,1,0.22,0.04,0,998,1209,82.5,19673,7381,0.9,0.1,8,74,10,5,1105,0,40,25,1,1,0,27,74,24,0.8,15,3,0,0,2,2,0.14,55,34,36,12,7,15,42,38,141,2,1532,171,10,8,11,895,1,9,4,929,38,15,0,1,116
