Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Dante,br BRA,DF,Nice,fr Ligue 1,40.0,0,0,0,0,0,0.5,0.5,0.2,-0.5,-0.5,9,2,0.41,0.09,0,1267,1432,88.5,21977,9017,0.5,-0.2,4,90,8,0,1336,5,8,2,0,0,0,18,96,8,0.96,19,0,0,1,0,1,0.0,32,15,17,13,2,14,34,29,74,1,1651,171,19,6,7,949,1,16,5,1138,41,19,0,0,112
Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22.0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,1,0,5.63,0.0,0,4,4,100.0,40,16,0.2,-0.1,1,0,0,0,4,0,0,0,0,0,0,3,0,2,11.25,1,0,0,1,0,0,5.63,0,0,0,0,0,0,0,0,1,0,8,1,3,0,0,5,3,2,1,7,1,0,0,0,0
Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18.0,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,11,1,0.76,0.07,0,357,445,80.2,5317,1399,1.0,0.0,11,35,9,2,426,1,1,10,1,0,0,5,39,24,1.66,17,0,0,4,3,0,0.14,24,14,9,13,2,14,12,20,28,1,595,25,18,3,5,287,0,18,11,337,10,9,1,0,52
Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30.0,2,6,2,0,0,2.1,2.1,3.7,-0.1,-0.1,36,9,1.18,0.3,1,981,1302,75.3,18512,5664,5.3,2.3,54,122,33,15,1093,8,23,163,27,36,3,37,142,83,3.15,46,44,2,4,0,0,0.23,40,26,15,16,9,29,16,19,23,1,1558,19,29,34,30,911,7,36,30,1030,13,21,0,0,122
Matteo Darmian,it ITA,DF,Inter,it Serie A,34.0,3,2,3,0,0,1.9,1.9,1.5,1.1,1.1,11,3,0.56,0.15,0,844,1007,83.8,14714,3784,1.3,0.5,15,39,15,7,876,3,2,32,0,0,0,14,45,102,1.72,26,3,0,1,2,2,0.2,28,17,12,12,4,11,10,14,39,0,1144,53,33,4,4,593,9,15,6,787,13,26,0,1,39
Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25.0,1,1,1,0,1,2.7,1.9,0.7,-1.7,-0.9,8,4,1.75,0.87,0,93,144,64.6,1531,522,0.3,0.3,6,9,1,0,126,3,0,19,4,3,0,8,11,19,2.18,7,2,1,0,0,0,0.22,4,2,1,2,1,7,0,5,5,0,213,5,14,5,10,116,1,21,2,131,4,4,0,0,17
Juan David Cabal,co COL,DF,Juventus,it Serie A,23.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,5,0,0.98,0.0,0,307,350,87.7,5087,1427,0.3,0.0,1,20,3,2,319,1,3,7,0,0,0,14,17,19,0.59,3,0,0,0,0,0,0.59,10,4,7,3,0,4,2,2,14,1,401,13,3,4,0,242,0,6,4,285,8,7,0,0,20
Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24.0,16,5,10,6,7,16.2,10.7,4.4,-0.2,-0.7,66,28,2.33,0.99,0,563,686,82.1,7502,1225,3.2,0.6,36,29,26,0,646,4,3,4,0,0,0,40,65,184,2.61,59,0,4,6,5,0,0.28,24,8,3,12,9,12,7,13,10,1,952,16,145,20,20,518,20,68,40,717,16,25,1,0,66
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23.0,1,2,1,0,0,1.2,1.2,1.6,-0.2,-0.2,17,3,0.98,0.17,0,1141,1272,89.7,16222,3977,2.2,0.4,27,95,16,2,1143,6,1,22,0,0,0,81,120,140,3.52,52,0,4,3,2,0,0.46,30,17,7,17,6,9,13,14,22,2,1463,33,49,31,31,895,21,33,19,1057,9,8,0,0,115
Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31.0,0,0,0,0,0,0.3,0.3,0.2,-0.3,-0.3,5,1,0.34,0.07,0,896,1023,87.6,16735,6614,0.5,-0.2,2,47,2,0,925,1,5,4,0,0,0,14,52,6,0.54,7,0,0,0,0,1,0.0,17,11,8,8,1,8,12,28,81,1,1186,215,13,1,0,664,0,5,0,781,52,17,0,0,41
